Name,"Ground truth
Timestamp
(Unix Time)","Ground truth
Timestamp",Ground truth- Mocap,,Data Crop (frame number),,Temperature,"Audio played
in each 
trajectory",Comments,"File names
Ground Truth"
Grid,,,"Movement 
start","Movement 
stop",Begin,End,,,,
grid101,1651916350,"2022-05-07, 11:39:10.145",1214,5287,1114,5387,not available,Chrip,,grid0101
grid102,1651916975,"2022-05-07, 11:49:35.332",1901,5977,1801,6077,,Chrip,,grid0102
grid103,1651917506,"2022-05-07, 11:58:26.470",1400,5477,1300,5577,,Chrip,,grid0103
grid104,1651918212,"2022-05-07, 12:10:11.694",1487,5564,1387,5664,,Chrip,,grid0104
grid105,1651918786,"2022-05-07, 12:19:45.546",1294,5367,1194,5467,,Chrip,,grid0105
grid106,1651919291,"2022-05-07, 12:28:11.249",1303,5381,1203,5481,,Chrip,,grid0106
grid107,1651919782,"2022-05-07, 12:36:22.441",1154,5229,1054,5329,,Chrip,,grid0107
grid108,1651920252,"2022-05-07, 12:44:12.169",1406,5480,1306,5580,,Chrip,,grid0108
grid109,1651920877,"2022-05-07, 12:54:36.535",1459,5539,1359,5639,,Chrip,,grid0109
grid110,1651921322,"2022-05-07, 13:02:01.707",1497,5562,1397,5662,,Chrip,,grid0110
grid111,1651928059,"2022-05-07, 14:54:19.093",1339,5419,1239,5519,,Chrip,,grid0111
grid112,1651928613,"2022-05-07, 15:03:33.470",1352,5433,1252,5533,,Chrip,,grid0112
grid113,1651929052,"2022-05-07, 15:10:51.836",1528,5606,1428,5706,,Chrip,,grid0113
grid114,1651929534,"2022-05-07, 15:18:54.403",1020,5097,920,5197,,Chrip,,grid0114
grid115,1651930094,"2022-05-07, 15:28:14.234",1203,5287,1103,5387,,Chrip,,grid0115
grid116,1651930519,"2022-05-07, 15:35:18.792",1257,5321,1157,5421,,Chrip,,grid0116
grid117,1651930940,"2022-05-07, 15:42:19.635",1252,5333,1152,5433,,Chrip,,grid0117
grid118,1651931356,"2022-05-07, 15:49:16.345",1262,5357,1162,5457,,Chrip,,grid0118
grid119,1651931786,"2022-05-07, 15:56:26.216",1407,5501,1307,5601,,Chrip,,grid0119
grid120,1651932273,"2022-05-07, 16:04:32.999",1571,5649,1471,5749,,Chrip,"after this point, new 
calibration has been made. 
Radio loses sync at frame 120
thus removed from the dataset",grid0120
grid121,1651935491,"2022-05-07, 16:58:10.939",1281,5362,1181,5462,,Chrip,,grid0121
grid122,1651935986,"2022-05-07, 17:06:26.097",1148,5229,1048,5329,,Chrip,,grid0122
grid123,1651936405,"2022-05-07, 17:13:25.327",1211,5299,1111,5399,,Chrip,,grid0123
grid124,1651937315,"2022-05-07, 17:28:35.364",1654,5737,1554,5837,,Chrip,,grid0124
grid125,1651937762,"2022-05-07, 17:36:02.227",1383,5466,1283,5566,,Chrip,,grid0125
grid126,1651938171,"2022-05-07, 17:42:50.612",1193,5275,1093,5375,,Chrip,,grid0126
grid127,1651938572,"2022-05-07, 17:49:31.681",1175,5257,1075,5357,,Chrip,,grid0127
grid128,1651939011,"2022-05-07, 17:56:50.648",1209,5283,1109,5383,,Chrip,,grid0128
grid129,1651939434,"2022-05-07, 18:03:54.264",1142,5216,1042,5316,,Chrip,,grid0129
grid130,1651939880,"2022-05-07, 18:11:20.007",1427,5509,1327,5609,,Chrip,"after this point, new 
calibration has been made",grid0130
grid131,1651999218,"2022-05-08, 10:40:18.274",2384,6439,2284,6539,23,Chrip,,grid0131
grid132,1652001337,"2022-05-08, 11:15:36.569",1742,5828,1642,5928,24,Chrip,"after this point clapper and light
on and off used for sync",grid0132
grid133,1652002526,"2022-05-08, 11:35:26.061",1324,5419,1224,5519,23,Chrip,,grid0133
grid134,1652003178,"2022-05-08, 11:46:18.197",1438,5533,1338,5633,23,Chrip,,grid0134
grid135,1652003619,"2022-05-08, 11:53:38.935",2350,6445,2250,6545,23,Chrip,,grid0135
grid136,1652004049,"2022-05-08, 12:00:49.247",1373,5468,1273,5568,23,Chrip,Speaker stopped in middle,grid0136
grid137,1652004532,"2022-05-08, 12:08:52.224",1428,5523,1328,5623,23,Chrip,Robot started before Lumami,grid0137
grid138,1652005106,"2022-05-08, 12:18:25.695",1662,5757,1562,5857,23,Chrip,"Mic 09 moved before this take +
light on not recorded by camera",grid0138
grid139,1652005560,"2022-05-08, 12:26:00.443",1459,5554,1359,5654,23,Chrip,,grid0139
grid140,1652006010,"2022-05-08, 12:33:29.868",1766,5861,1666,5961,23,Chrip,,grid0140
grid141,1652006488,"2022-05-08, 12:41:28.098",1226,5321,1126,5421,23,Chrip,,grid0141
grid142,1652013206,"2022-05-08, 14:33:26.387",1557,5652,1457,5752,23,Chrip,,grid0142
grid143,1652013911,08-May-2022 14:45:11',1394,5489,1294,5589,23,Chrip,,grid0143
grid144,1652014433,08-May-2022 14:53:53',1324,5419,1224,5519,23,Chrip,,grid0144
grid145,1652014888,08-May-2022 15:01:28',1236,5318,1136,5418,23,Chrip,,grid0145
grid146,1652015340,08-May-2022 15:09:00',1327,5422,1227,5522,23,Chrip,,grid0146
grid147,1652015745,08-May-2022 15:15:44',1068,5163,968,5263,24,Chrip,,grid0147
grid148,1652016169,08-May-2022 15:22:49',1119,5214,1019,5314,24,Chrip,,grid0148
grid149,1652016641,08-May-2022 15:30:40',1041,5136,941,5236,24,Chrip,,grid0149
grid150,1652017079,08-May-2022 15:37:58',1570,5665,1470,5765,25,Chrip,,grid0150
grid151,1652017492,08-May-2022 15:44:52',1162,5257,1062,5357,25,Chrip,,grid0151
grid152,1652017969,08-May-2022 15:52:49',1488,5583,1388,5683,25,Chrip,,grid0152
grid153,1652018434,08-May-2022 16:00:33',1167,5262,1067,5362,25,Chrip,,grid0153
grid154,1652018836,08-May-2022 16:07:16',1476,5571,1376,5671,25,Chrip,,grid0154
grid155,1652019262,08-May-2022 16:14:21',1066,5161,966,5261,25,Chrip,,grid0155
grid156,1652019653,08-May-2022 16:20:52',1280,5375,1180,5475,25,Chrip,,grid0156
grid157,1652020062,08-May-2022 16:27:42',1197,5292,1097,5392,25,Chrip,,grid0157
grid158,1652020495,08-May-2022 16:34:54',1358,5453,1258,5553,25,Chrip,,grid0158
grid159,1652020882,08-May-2022 16:41:22',1085,5180,985,5280,25,Chrip,,grid0159
grid160,1652021290,08-May-2022 16:48:10',1294,5389,1194,5489,25,Chrip,,grid0160
grid161,1652021702,08-May-2022 16:55:02',1121,5216,1021,5316,25,Chrip,,grid0161
grid162,1652022126,08-May-2022 17:02:05',1308,5403,1208,5503,25,Chrip,,grid0162
grid163,1652022605,08-May-2022 17:10:05',1094,5189,994,5289,25,Chrip,,grid0163
grid164,1652023132,08-May-2022 17:18:52',1466,5561,1366,5661,25,Chrip,,grid0164
grid165,1652023583,08-May-2022 17:26:22',943,5038,843,5138,25,Chrip,,grid0165
grid166,1652024007,08-May-2022 17:33:27',1413,5508,1313,5608,25,Chrip,,grid0166
grid167,1652024407,08-May-2022 17:40:06',1033,5128,933,5228,25,Chrip,"Trigger NC, trigger and camera 
sync event in GT",grid0167
grid168,1652024801,08-May-2022 17:46:40',1239,5334,1139,5434,25,Chrip,,grid0168
grid169,1652025185,08-May-2022 17:53:04',957,5052,857,5152,25,Chrip,,grid0169
grid170,1652025585,08-May-2022 17:59:44',1513,5608,1413,5708,25,Chrip,,grid0170
grid171,1652026019,08-May-2022 18:06:58',1061,5156,961,5256,25,Chrip,,grid0171
grid172,1652027489,08-May-2022 18:31:28',1385,5480,1285,5580,25,Chrip,,grid0172
grid173,1652027902,08-May-2022 18:38:21',1016,5111,916,5211,25,Chrip,,grid0173
grid174,1652028327,08-May-2022 18:45:26',1424,5519,1324,5619,25,Chrip,"after this point, new 
calibration has been made",grid0174
grid175,1652084272,09-May-2022 10:17:52',1189,5284,1089,5384,22,Chrip,,grid0175
grid176,1652084695,09-May-2022 10:24:54',1334,5429,1234,5529,22,Chrip,,grid0176
random_rect1,1652086887,09-May-2022 11:01:26',1272,6261,1192,6361,22,Chrip,problem with radio,RandomRect0001
random_rect2,1652087408,09-May-2022 11:10:07',1296,6628,1196,6728,22,Chrip,,RandomRect0002
random_diag1,1652088072,09-May-2022 11:21:11',1377,6179,1277,6279,22,music3,,RandomDiagonal0001
random_diag2,1652088758,09-May-2022 11:32:38',1296,6089,1196,6189,22,music1,mic event in GT,RandomDiagonal0002
random_manual_people1,1652089331,09-May-2022 11:42:10',1119,6451,1019,6551,22,music3,,RandomManual0001ppl
