index,x_q88,gamma_q88,float_ref_q88,hw_golden_q88,hw_model_q88,float_ref_real,hw_golden_real,abs_error_real
0,179,262,194,195,195,0.7578125,0.76171875,0.00390625
1,158,269,176,176,176,0.6875,0.6875,0.0
2,-48,262,-52,-53,-53,-0.203125,-0.20703125,0.00390625
3,-226,259,-242,-244,-244,-0.9453125,-0.953125,0.0078125
4,-116,263,-126,-128,-128,-0.4921875,-0.5,0.0078125
5,-415,268,-460,-462,-462,-1.796875,-1.8046875,0.0078125
6,239,264,261,262,262,1.01953125,1.0234375,0.00390625
7,-66,262,-72,-73,-73,-0.28125,-0.28515625,0.00390625
8,108,264,118,118,118,0.4609375,0.4609375,0.0
9,-21,258,-22,-23,-23,-0.0859375,-0.08984375,0.00390625
10,-310,269,-345,-347,-347,-1.34765625,-1.35546875,0.0078125
11,138,264,151,151,151,0.58984375,0.58984375,0.0
12,331,262,359,360,360,1.40234375,1.40625,0.00390625
13,55,267,61,61,61,0.23828125,0.23828125,0.0
14,-92,268,-102,-103,-103,-0.3984375,-0.40234375,0.00390625
15,271,265,297,298,298,1.16015625,1.1640625,0.00390625
16,12,263,13,13,13,0.05078125,0.05078125,0.0
17,-249,267,-275,-277,-277,-1.07421875,-1.08203125,0.0078125
18,-301,276,-344,-346,-346,-1.34375,-1.3515625,0.0078125
19,283,259,303,304,304,1.18359375,1.1875,0.00390625
20,-181,275,-206,-208,-208,-0.8046875,-0.8125,0.0078125
21,-84,267,-93,-94,-94,-0.36328125,-0.3671875,0.00390625
22,-30,266,-33,-34,-34,-0.12890625,-0.1328125,0.00390625
23,-276,266,-304,-306,-306,-1.1875,-1.1953125,0.0078125
24,68,263,74,74,74,0.2890625,0.2890625,0.0
25,-46,272,-52,-53,-53,-0.203125,-0.20703125,0.00390625
26,-26,264,-28,-29,-29,-0.109375,-0.11328125,0.00390625
27,338,265,371,372,372,1.44921875,1.453125,0.00390625
28,-283,268,-314,-316,-316,-1.2265625,-1.234375,0.0078125
29,-289,266,-318,-320,-320,-1.2421875,-1.25,0.0078125
30,-2,266,-2,-3,-3,-0.0078125,-0.01171875,0.00390625
31,272,266,299,300,300,1.16796875,1.171875,0.00390625
32,-216,263,-235,-237,-237,-0.91796875,-0.92578125,0.0078125
33,-11,269,-12,-13,-13,-0.046875,-0.05078125,0.00390625
34,220,257,234,235,235,0.9140625,0.91796875,0.00390625
35,446,266,491,492,492,1.91796875,1.921875,0.00390625
36,-46,269,-51,-52,-52,-0.19921875,-0.203125,0.00390625
37,338,261,365,366,366,1.42578125,1.4296875,0.00390625
38,-25,267,-28,-29,-29,-0.109375,-0.11328125,0.00390625
39,84,263,91,92,92,0.35546875,0.359375,0.00390625
40,311,261,336,337,337,1.3125,1.31640625,0.00390625
41,76,257,81,81,81,0.31640625,0.31640625,0.0
42,67,266,74,74,74,0.2890625,0.2890625,0.0
43,227,266,250,251,251,0.9765625,0.98046875,0.00390625
44,-253,261,-273,-275,-275,-1.06640625,-1.07421875,0.0078125
45,-603,265,-661,-664,-664,-2.58203125,-2.59375,0.01171875
46,-218,265,-239,-241,-241,-0.93359375,-0.94140625,0.0078125
47,-59,261,-64,-65,-65,-0.25,-0.25390625,0.00390625
48,363,270,406,407,407,1.5859375,1.58984375,0.00390625
49,-144,256,-153,-154,-154,-0.59765625,-0.6015625,0.00390625
50,-118,266,-130,-131,-131,-0.5078125,-0.51171875,0.00390625
51,-77,266,-85,-86,-86,-0.33203125,-0.3359375,0.00390625
52,-3,268,-3,-4,-4,-0.01171875,-0.015625,0.00390625
53,-147,267,-162,-164,-164,-0.6328125,-0.640625,0.0078125
54,178,256,189,189,189,0.73828125,0.73828125,0.0
55,470,267,519,521,521,2.02734375,2.03515625,0.0078125
56,174,265,191,191,191,0.74609375,0.74609375,0.0
57,73,258,78,78,78,0.3046875,0.3046875,0.0
58,741,263,807,809,809,3.15234375,3.16015625,0.0078125
59,-82,268,-91,-92,-92,-0.35546875,-0.359375,0.00390625
60,-291,263,-317,-319,-319,-1.23828125,-1.24609375,0.0078125
61,123,262,133,134,134,0.51953125,0.5234375,0.00390625
62,-308,264,-337,-338,-338,-1.31640625,-1.3203125,0.00390625
63,-4,260,-4,-5,-5,-0.015625,-0.01953125,0.00390625
64,227,261,245,246,246,0.95703125,0.9609375,0.00390625
65,-219,261,-237,-238,-238,-0.92578125,-0.9296875,0.00390625
66,-207,260,-223,-224,-224,-0.87109375,-0.875,0.00390625
67,-93,257,-99,-100,-100,-0.38671875,-0.390625,0.00390625
68,226,265,248,249,249,0.96875,0.97265625,0.00390625
69,-214,265,-235,-236,-236,-0.91796875,-0.921875,0.00390625
70,344,268,382,383,383,1.4921875,1.49609375,0.00390625
71,227,270,254,254,254,0.9921875,0.9921875,0.0
72,168,265,184,185,185,0.71875,0.72265625,0.00390625
73,-253,266,-279,-280,-280,-1.08984375,-1.09375,0.00390625
74,-242,260,-260,-262,-262,-1.015625,-1.0234375,0.0078125
75,-38,266,-42,-43,-43,-0.1640625,-0.16796875,0.00390625
76,226,268,251,251,251,0.98046875,0.98046875,0.0
77,88,269,98,98,98,0.3828125,0.3828125,0.0
78,340,262,369,370,370,1.44140625,1.4453125,0.00390625
79,-23,265,-25,-26,-26,-0.09765625,-0.1015625,0.00390625
80,169,262,183,184,184,0.71484375,0.71875,0.00390625
81,-216,264,-236,-238,-238,-0.921875,-0.9296875,0.0078125
82,-128,263,-139,-141,-141,-0.54296875,-0.55078125,0.0078125
83,57,262,62,62,62,0.2421875,0.2421875,0.0
84,121,270,135,136,136,0.52734375,0.53125,0.00390625
85,-137,263,-149,-151,-151,-0.58203125,-0.58984375,0.0078125
86,-13,265,-14,-15,-15,-0.0546875,-0.05859375,0.00390625
87,457,265,501,503,503,1.95703125,1.96484375,0.0078125
88,67,263,73,73,73,0.28515625,0.28515625,0.0
89,-224,261,-242,-244,-244,-0.9453125,-0.953125,0.0078125
90,-41,258,-44,-45,-45,-0.171875,-0.17578125,0.00390625
91,-159,266,-175,-176,-176,-0.68359375,-0.6875,0.00390625
92,375,263,408,409,409,1.59375,1.59765625,0.00390625
93,93,252,97,97,97,0.37890625,0.37890625,0.0
94,323,260,348,348,348,1.359375,1.359375,0.0
95,-912,261,-985,-989,-989,-3.84765625,-3.86328125,0.015625
96,325,265,356,357,357,1.390625,1.39453125,0.00390625
97,308,269,343,344,344,1.33984375,1.34375,0.00390625
98,38,264,42,42,42,0.1640625,0.1640625,0.0
99,422,267,466,468,468,1.8203125,1.828125,0.0078125
100,-508,260,-547,-549,-549,-2.13671875,-2.14453125,0.0078125
101,-57,266,-63,-64,-64,-0.24609375,-0.25,0.00390625
102,-56,261,-60,-62,-62,-0.234375,-0.2421875,0.0078125
103,-356,268,-395,-397,-397,-1.54296875,-1.55078125,0.0078125
104,39,258,42,42,42,0.1640625,0.1640625,0.0
105,-161,265,-177,-178,-178,-0.69140625,-0.6953125,0.00390625
